2026-05-01,Which incident is considered to be the origin of International Worker's Day?,The Great Railroad Strike,The Homestead Strike,The Pullman Strike,::Chicago Haymarket Affair
2026-05-02,"What historical conflict is commemorated today which resulted in the final defeat of one of the most cold, ruthless tyrant who feared death above all else?",::Battle of Hogwarts,Battle of Hastings,Battle of Waterloo,Battle of Kili
2026-05-03,"What ""event"" initially caused a digital outroar for being intrusive, ended up generating $13 million in sales for Digital Equipment Corporation?",Pop-Up Ads,::The FIrst Spam E-Mail,Eye-tracking technique,Facial Recognition
2026-05-04,"Which actress recieved an Academy Award for playing Margaret Thatcher in the movie ""The Iron Lady""?",Marilyn Monroe,Madonna,::Meryl Streep,Maggie Smith
2026-05-05,"""Go on, get out. Last words are for fools who haven't said enough!"". Whose last words were these?",Abraham Lincoln,Winston Churchill,Adolf Hitler,::Karl Marx
2026-05-06,What was the initial paint color of the Eiffel Tower?,::Venetian Red,Ochre Brown,Yellow Brown,Eiffel Tower Brown
2026-05-07,What was Sony's first product?,TR-55,::Electric Rice Cooker,Trinitron Colour TV,Walkman
2026-05-08,Which Nobel Peace Prize Laureate is honored by the celebration of World Red Cross Day?,Albert Gobat,Randal Cremer,::Henry Dunant,Bertha von Suttner
2026-05-09,How many 4-digit numbers can one make using a set of 4 numbers without repetition?,22,20,30,::24
2026-05-10,What is the capital of New York State?,::Albany,New York City,Buffalo,Yonkers
2026-05-11,How many heart chambers does a cockroach have?,2,10,4,::13
2026-05-12,In what country is bird poop (from the Ptarmigan bird) considered a delicacy?,Malaysia,::Greenland,China,Thailand
2026-05-13,How many minutes was the longest recorded point in the history of tennis in professional tournament play?,15 mins,8 mins,::29 mins,32 mins
2026-05-14,"What was the original source of the characters used to create the ""digital rain"" code in The Matrix?",::Japanese Sushi Recipes,Randomly generated from a broken printer,Binary sequence from a hacking manual,Sumerian inscriptions found in a museum
2026-05-15,The 'Teddy Bear' was named after which U.S. President following a famous hunting trip where he refused to shoot a bear?,Franklin D. Roosevelt,George Washington,Thomas Jefferson,::Theodore Roosevelt
2026-05-16,What is used to make the base of a sitar?,Camel bone,::Pumpkin,Teak Wood,Fibre Glass
2026-05-17,What is the only type of rock that can float in water?,::Pumice,Obsidian,Basalt,Slate
2026-05-18,What is the name of the kingdom where Disney's Frozen takes place?,Corona,Genovia,::Arendelle,DunBroch
2026-05-19,What was the first domain name ever registered on the internet?,Bbn.com,Think.com,Mcc.com,::Symbolics.com
2026-05-20,Which part of the human body is the only one that has no blood supply and gets its oxygen directly from the air?,Fingernails,::Cornea,Teeth,Hair
2026-05-21,Which musical instrument’s name literally translates to “jumping flea” in its native language?,::Ukulele,Mandolin,Banjo,Harmonica
2026-05-22,"What was the shortest war in history, lasting only about 38 to 45 minutes?",Football War,Falklands War,::Anglo-Zanzibar War,Six-Day War
2026-05-23,Which of these animals is physically incapable of jumping?,Hippopotomus,Rhinoceros,Sloth,::Elephant
2026-05-24,"Which brand name is complete gibberish, made up specifically to sound ""cold, luxurious, and Danish""?",Kodak,::Häagen-Dazs,Volvo,Swarovski
2026-05-25,"In the world of professional bowling, what is the term for three consecutive strikes?",::Turkey,Hat-trick,Triple-score,Clover
2026-05-26,Which country has won the most FIFA World Cups in history?,Germany,Argentina,::Brazil,Spain
2026-05-27,"In Gainesville, Georgia, it is technically illegal to eat which of these foods with a fork?",Pizza,Watermelon,Spaghetti,::Fried Chicken
2026-05-28,Which is the only sea on Earth that has no coastlines or land boundaries?,Dead Sea,::Sargasso Sea,Caspian Sea,Red Sea
2026-05-29,What is the only letter in the English alphabet that does not appear in the name of any US State?,::Q,X,Z,J
2026-05-30,The 1994 film The Lion King was the first Disney animated feature to be based on what?,A Greek Myth,A Fable,::An original story,A Broadway Play
2026-05-31,"Which company was originally going to be named ""Cadabra"" (short for ""abracadabra""), but the founder changed it after a lawyer misheard it as ""cadaver""?",Disney,eBay,Netflix,::Amazon